City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Chokurdakh,RU,2022-05-16 15:43:53,70.6333,147.9167,24.69,96,100,12.03
195,Ahipara,NZ,2022-05-16 15:43:54,-35.1667,173.1667,63.57,95,47,6.87
196,Kolpny,RU,2022-05-16 15:43:54,52.2282,37.0368,50.34,67,54,14.27
197,Lewistown,US,2022-05-16 15:43:55,40.5992,-77.5714,69.21,100,100,19.57
198,Adrar,MR,2022-05-16 15:43:55,20.5022,-10.0711,106.43,6,6,17.38
199,Praya,CV,2022-05-16 15:43:55,14.9215,-23.5087,90.14,33,0,26.46
200,Lasa,IT,2022-05-16 15:43:56,46.6166,10.7002,61.68,79,99,1.57
201,Watsa,CD,2022-05-16 15:43:56,3.0372,29.5355,72.99,75,88,1.57
202,Izumo,JP,2022-05-16 15:43:56,35.3667,132.7667,57.15,60,100,3.62
203,Gamboula,CF,2022-05-16 15:43:57,4.1178,15.1393,82.04,66,34,7.07
204,Sheregesh,RU,2022-05-16 15:43:57,52.9209,87.9869,57.79,69,94,3.96
205,Kuytun,RU,2022-05-16 15:43:57,54.3419,101.5036,59.09,63,100,8.28
206,Robinson,US,2022-05-16 15:43:58,31.4677,-97.1147,87.21,56,0,9.22
207,Aras,ES,2022-05-16 15:43:58,42.5617,-2.356,79.21,32,0,6.91
208,Correntina,BR,2022-05-16 15:43:59,-13.3433,-44.6367,95.04,26,50,3.47
209,Bandarbeyla,SO,2022-05-16 15:43:59,9.4942,50.8122,82.0,83,33,31.05
210,Fortuna,US,2022-05-16 15:43:59,40.5982,-124.1573,55.85,95,75,11.5
211,Leningradskiy,RU,2022-05-16 15:44:00,69.3833,178.4167,14.5,94,68,7.74
212,Sept-Iles,CA,2022-05-16 15:41:56,50.2001,-66.3821,41.05,95,100,8.05
213,Airai,TL,2022-05-16 15:44:00,-8.9266,125.4092,58.66,85,9,1.48
214,Mahibadhoo,MV,2022-05-16 15:44:00,3.7833,72.9667,83.25,80,100,20.29
215,Lavrentiya,RU,2022-05-16 15:44:01,65.5833,-171.0,18.12,85,68,5.97
216,Kavaratti,IN,2022-05-16 15:44:01,10.5669,72.642,81.36,78,100,20.13
217,Kinkala,CG,2022-05-16 15:44:02,-4.3614,14.7644,83.84,69,93,2.8
218,Marzuq,YE,2022-05-16 15:44:02,14.4,46.4667,78.46,8,0,4.29
219,Harper,LR,2022-05-16 15:44:02,4.375,-7.7169,82.76,78,100,8.41
220,Alta Floresta,BR,2022-05-16 15:44:03,-9.8756,-56.0861,91.22,58,75,4.61
221,Coahuayana,MX,2022-05-16 15:44:03,18.7333,-103.6833,87.87,33,68,4.83
222,Kjopsvik,NO,2022-05-16 15:44:03,68.097,16.3742,41.16,75,93,7.45
223,Manyana,BW,2022-05-16 15:44:04,-23.4,21.7167,68.92,37,75,6.78
224,Palestina,PS,2022-05-16 15:44:04,31.9216,35.2033,65.93,61,100,11.61
225,Atasu,KZ,2022-05-16 15:44:05,48.6814,71.6433,66.96,38,30,9.57
226,Comodoro Rivadavia,AR,2022-05-16 15:44:05,-45.8667,-67.5,53.46,43,0,11.5
227,Pisco,PE,2022-05-16 15:44:05,-13.7,-76.2167,67.01,82,14,6.91
228,Bengkulu,ID,2022-05-16 15:44:06,-3.8004,102.2655,78.48,88,100,3.44
229,Roald,NO,2022-05-16 15:45:06,62.5833,6.1333,59.92,57,0,21.85
230,Steinbach,DE,2022-05-16 15:45:06,50.1667,8.5667,73.99,63,40,14.97
231,Ponta Do Sol,PT,2022-05-16 15:45:07,32.6667,-17.1,78.71,73,0,7.18
232,Juazeiro,BR,2022-05-16 15:43:29,-9.4117,-40.4986,87.98,51,20,10.36
233,Port Lincoln,AU,2022-05-16 15:45:07,-34.7333,135.8667,57.7,67,96,8.99
234,Awjilah,LY,2022-05-16 15:45:08,29.1081,21.2869,87.33,20,0,9.44
235,Upernavik,GL,2022-05-16 15:45:08,72.7868,-56.1549,19.24,78,63,8.81
236,Road Town,VG,2022-05-16 15:43:24,18.4167,-64.6167,86.04,66,40,12.66
237,Esperance,AU,2022-05-16 15:45:09,-33.8667,121.9,55.99,73,0,14.56
238,Marystown,CA,2022-05-16 15:45:09,47.1666,-55.1483,48.85,100,99,6.78
239,Charters Towers,AU,2022-05-16 15:45:09,-20.1,146.2667,74.14,63,100,6.33
240,Mogadishu,SO,2022-05-16 15:44:03,2.0371,45.3438,80.73,83,6,17.49
241,Pictou,CA,2022-05-16 15:45:10,45.6834,-62.7153,56.64,77,100,13.8
242,Vostok,RU,2022-05-16 15:45:10,46.4856,135.8833,36.81,67,29,6.24
243,San Cristobal,VE,2022-05-16 15:45:11,7.7669,-72.225,84.38,43,100,10.47
244,Merritt Island,US,2022-05-16 15:45:11,28.5392,-80.672,86.0,59,40,9.22
245,Kruisfontein,ZA,2022-05-16 15:45:12,-34.0033,24.7314,73.89,31,0,4.56
246,Lorengau,PG,2022-05-16 15:45:12,-2.0226,147.2712,80.17,74,95,4.23
247,Denpasar,ID,2022-05-16 15:40:49,-8.65,115.2167,82.06,88,20,8.05
248,Dikson,RU,2022-05-16 15:45:12,73.5069,80.5464,33.49,99,100,6.91
249,Loubomo,CG,2022-05-16 15:45:13,-4.1997,12.6739,81.73,79,87,2.3
250,Sulangan,PH,2022-05-16 15:45:13,11.1373,123.7228,83.37,76,98,8.39
251,Urusha,RU,2022-05-16 15:45:14,54.05,122.9,30.65,59,36,4.09
252,Namatanai,PG,2022-05-16 15:45:14,-3.6667,152.4333,79.57,78,87,4.38
253,Piacabucu,BR,2022-05-16 15:45:14,-10.4056,-36.4344,84.22,68,37,8.88
254,Natal,BR,2022-05-16 15:40:57,-5.795,-35.2094,86.22,74,75,12.66
255,Yibin,CN,2022-05-16 15:43:41,28.7667,104.6238,64.22,79,100,1.68
256,Cairns,AU,2022-05-16 15:45:15,-16.9167,145.7667,72.07,97,9,0.0
257,Longyearbyen,SJ,2022-05-16 15:42:19,78.2186,15.6401,31.84,69,75,9.22
258,Vanimo,PG,2022-05-16 15:45:15,-2.6741,141.3028,79.32,85,60,3.67
259,Mareeba,AU,2022-05-16 15:45:16,-17.0,145.4333,67.44,87,1,1.59
260,Normandin,CA,2022-05-16 15:45:16,48.8333,-72.5321,59.31,94,100,5.75
261,Santa Maria,BR,2022-05-16 15:45:17,-29.6842,-53.8069,56.5,58,75,12.66
262,Salalah,OM,2022-05-16 15:45:17,17.0151,54.0924,86.09,74,20,9.22
263,Solnechnyy,RU,2022-05-16 15:45:17,50.7214,136.6319,37.9,70,66,5.14
264,Dingle,PH,2022-05-16 15:45:18,10.9995,122.6711,78.26,86,74,1.74
265,Chulym,RU,2022-05-16 15:45:18,55.0997,80.9572,59.5,79,90,16.53
266,Itoman,JP,2022-05-16 15:45:19,26.1247,127.6694,65.17,96,100,10.36
267,Erzin,TR,2022-05-16 15:45:19,36.9559,36.2,67.03,82,5,5.08
268,Phra Phutthabat,TH,2022-05-16 15:45:19,14.7253,100.7954,80.53,81,99,3.94
269,Codrington,AU,2022-05-16 15:45:20,-38.2667,141.9667,50.92,73,100,12.37
270,Isangel,VU,2022-05-16 15:45:21,-19.55,169.2667,71.71,94,78,4.61
271,Magistralnyy,RU,2022-05-16 15:45:23,56.1725,107.4458,53.19,46,95,2.64
272,Mar Del Plata,AR,2022-05-16 15:45:23,-38.0023,-57.5575,53.94,78,75,17.27
273,Jinxiang,CN,2022-05-16 15:46:23,27.4327,120.6062,59.11,76,60,3.83
274,Gat,IL,2022-05-16 15:44:05,31.61,34.7642,74.39,28,100,7.11
275,Esna,EG,2022-05-16 15:46:24,25.2934,32.554,98.62,6,96,19.57
276,Manzanillo,CU,2022-05-16 15:46:24,20.3433,-77.1167,86.38,57,95,2.08
277,Poco Das Trincheiras,BR,2022-05-16 15:46:25,-9.3125,-37.2856,90.97,42,53,12.08
278,Cap-Aux-Meules,CA,2022-05-16 15:46:25,47.3821,-61.8597,48.25,81,100,13.8
